source_text,translated_text
Veio faltando o carregado,充電器不見了
Tudo como combinado,一切都按照約定
Muito Bom o produto,非常好的產品
Ótima cinta,很棒的錶帶
quero devolução,我想要退款
RELÓGIO FALSO,假表
Frete,貨運
Incompleto,不完整
"""*****",「*****
Me mandaram outro produto,他們寄了另一個產品
Eu super recomendo,我強烈推薦
Produto veio errado,產品出現錯誤
Boa compra,好買
super recomendp,超推薦
Muito satisfeita,非常滿意
0,0
O produto não foi entregu,產品未交付
Otimo atendimento,很棒的服務
Cortina perfeita,完美的窗簾
Parece estar tudo correto,一切似乎都是正確的
Entrega recebida,已收到貨
super recomendada,超推薦
qualidade ruim do produto,產品品質差
Produto de qualidade,優質產品
Bom custo x benefício,物超所值
não recebi um produto,我沒有收到產品
satisfeita,使滿意
TD certo,TD右
"Recebi, está incompleto",收到了，不完整
Tudo certo.,一切都很好。
otims,奧蒂姆斯
Produto recomendado,推薦產品
Muito bom .,非常好 。
produtos ruins,不良產品
NÃO RECOMENTO,不推薦
Tudo nos conformes!,一切都很好！
Entrega no prazo.,準時交貨。
Entrega de produtos,產品交付
Tudo dentro dos conformes,一切都合規
Loja muito boa,非常好的店
Touca,帽子
Produto excelente,優秀的產品
Ótimo custo beneficio,物超所值
Entregue no prazo,準時交貨
Ótima compra!,很棒的購買！
Tudo nos conformes,一切都井然有序
bom serviço,服務好
Jogo de cama,寢具套裝
OTIMO PRODUTO,很棒的產品
Nao recebi tudo,我沒有收到全部
Aguardando a entrega,等待發貨
ainda não entregou,尚未交付
Não presta bom atendiment,不提供良好的服務
Aprovado,得到正式認可的
Fui enganado,我被騙了
Produto com defeito!,有缺陷的產品！
Muito eficiente,非常有效率
Lustre,枝形吊燈
Muito bom!,非常好！
Não compro mais,我不會再買了
Amei!,我愛過！
Cumpriu com o pro,符合專業
Entrega parcial,部分交付
Rapida entrega,交貨快捷
recomendo.,我推薦。
OTIMO,出色的
PERFEITO,完美的
Pedido incompleto,訂單不完整
Bom parceiro,好夥伴
RUIM,壞的
bom produto,好產品
esperando e precisando...,等待並需要...
Atraso,延遲
Meu produto,我的產品
excelente! Recomendo,出色的！我推薦
"otimo, recomendo",太棒了，我推薦
Avaliação de Entrega,交付評估
05,05
Cheiro de satisfação,滿足的味道
Antes do prazo,截止日期之前
Exelente,出色的
Loja correta,正確的商店
Produto bem inferior,非常劣質的產品
muito bom!,非常好！
Muito bom e rápido.,非常好而且快。
Anúncio ambíguo dá errado,模稜兩可的廣告出了問題
produto excelente,優秀的產品
Excelente compra,優秀的購買
recomendo a loja e produt,我推薦商店和產品
Não Recomendo,我不推薦
Compra,買
prateleira continental,陸棚
Produto pequeno,小產品
xxxxxxxxxxx,xxxxxxxxx
Muito satisfeito.,非常滿意。
muito satisfeita,非常滿意
Pessimamente atendido,服務很差
Entrega incompleta,交貨不完整
Super recomendaddo,超推薦
Encomenda não entregue,訂單未交付
produto insatisfatorio,不滿意的產品
Faluana receber um produt,Faluana 收到產品
Perfume é FALSO,香水是假的
"Não Recomendo""!!!!!",我不推薦」！！！！
Horrível,可怕
Ótimo custo x benefício,物超所值
Não é a melhor marca,不是最好的品牌
Tranquilo,安靜的
Nome incompleto,名稱不完整
melhor que a espectativa,比預期好
Adaptador de 12 v p/ 110v,12v 適配器轉 110v
recebi o produto na data,我準時收到了產品
EXCELENTE,出色的
A satisfação,滿意度
Quero fazer devoluçao,我想退貨
Produto chegou quebrado.,產品到達時已損壞。
Nota10,註10
bom....4,好....4
PRODUTO INCORRETO,產品不正確
Phoda!,福達！
Acabamento Ruim,表面處理不佳
3,3
Diferente,不同的
Falta mais compromisso,不再有承諾
Empresa confiável,值得信賴的公司
Falha na entrega,出貨失敗
lannister.com,蘭尼斯特網站
okkkkk,好啦
Não recebi meu produto,我沒有收到我的產品
Chegou antes do esperado,比預期早到達
muito possitivo,非常積極
Erro de produto,產品錯誤
Otimol,奧普莫爾
REcomendo,推薦
Não recebi o produto.,我沒有收到產品。
Luminaria sobrepor led 18,重疊式LED 18燈具
Entrega Parcial.,部分交付。
SUPER RECOMENDADO,超推薦
targaryen APROVADA!,坦格利安批准！
Ainda não recebi,我還沒收到
Muito ruim,非常糟糕
Atendimento e entrega Dez,服務與交付 12 月
òtima qualidade,品質優良
Boa noite bom produto,晚上好好產品
Cabeceira linda!,漂亮的床頭板！
Modelo do relógio,手錶型號
Produto dentro do esperad,產品符合預期
Muito bom e rapido,非常好又快
Pruto muito frágil.,非常脆弱的李子。
FOI RÁPIDO A ENTREGA,交貨很快
Regular.,常規的。
entrega atrasada,延遲交貨
Compra bem sucedida!,購買成功！
O produto não funciona,產品不起作用
Excelente parceiro,優秀合作夥伴
Tamanho maior,尺寸更大
Recebimento nota 10,收到10級
LINDA PULSEIRA,美麗的手鍊
Produto Ok,產品OK
Satisfação da compra,購買滿意度
Rapidez e eficiencia,速度和效率
Ótimo custo benefício,物超所值
Sim recomendo a loja,是的，我推薦這家商店
Produto avariado,不良品
Rápido na entrega,交貨快
composição diferente,不同的成分
Ótimo serviço,很棒的服務
Sensacionalmente Recomend,轟動推薦
Uma merda,一個狗屎
demora na entrega,延遲交貨
Mt bom,非常好
Insegurança,不安全感
Produto veio defeito,產品到達時有缺陷
Ruim. Veio o rosa e pedi,壞的。粉紅色的來了，我問
Muito bom !,非常好 ！
Super recomendo!!!,我強烈推薦它！
Eles são excelentes!!,他們太棒了！
Colimador/ajustador de mi,Mi準直器/調節器
7,7
Nao recebi certo,我沒有正確收到
Má qualidade,品質差
Amei,我愛過
Boa Loja,好店
"Horrível, uma fraude!!!!",太可怕了，騙人的！ ！ ！ ！
Meu produto foi devolvido,我的產品被退回
Excelente produto.,優秀的產品。
rapido e correto,快速且正確
Cadê meu produto,我的產品在哪裡
Excelente.,出色的。
lannister show!@,蘭尼斯特秀！ @
LM 327,LM 327
Recomendo à todos,我推薦給大家
M boa,米好
Boa loja,好店
SUPER INDICO,超級靛藍
O produto não veio,產品沒來
Tecido fino,精美面料
Produto inferior,劣質產品
Não chegou o produto,產品未到達
Ainda tenho dúvidas,我仍然有疑問
Recebimento,收據
Bem atendida pela loja,店裡服務很好
Papaleguas,帕帕萊瓜斯
Terceirizada perfeita,完善的外包
Modelo diferente.,不同型號。
comprei 2 itens e recebi,我購買了 2 件商品並收到了
Conforme anúncio,按照廣告
Produto falsificado,仿冒品
Ótima Empresa,偉大的公司
recomendaria,會推薦
o produto foi entregue,產品已交付
não recebi o produto,我沒有收到產品
Espetacular,壯觀
Super recomendo !,我強烈推薦它！
ÓTIMO,出色的
Legal,合法的
exijo as devidas providen,我要求採取必要措施
condiz com o anunciado,與廣告內容相符
nao foi entregue,未交付
eu me arrependo da compra,我後悔購買了
Eficiente e qualidade,高效優質
Só recebi a nota fiscal,我只收到發票
O espelho fica embaçado,鏡子起霧了
MEGA RECOMENDO,超推薦
Relógio Lindo!,漂亮的手錶！
MUITO DECEPCIONADA,非常失望
Amei!!,我愛過！ ！
Parabéns a toda equip,恭喜整個團隊
Entrega demorada,延遲交貨
não. chegou,不。它到達了
Meus parabéns,我的祝賀
Meu produto voltou,我的產品被退回
Recomendo sim,是的，我推薦
Supar recomendo 5 estrel,超推薦5星
Super satisfeita,超級滿意
Produto veio diferente,產品不同
Recomendaria mas com resa,我會推薦它，但要謹慎
Ótima compra,很棒的購買
Produto não veio 250 ml,產品未到達 250 毫升
Total desrespeito,完全不尊重
O produto veio quebrado,產品到達時已損壞
Problemas com entrega,交貨問題
Enganação,欺騙
Amei ...entrega rapida.,我喜歡它...交貨快捷。
custo x benefício,成本×效益
Fornecedor ótimo,很棒的供應商
Satisfatória,滿意
Pessimo,糟糕的
Devolução de produto,產品退貨
Nao entregRam o produto,他們沒有交付產品
Adesivos amassados,皺巴巴的貼紙
9 neste produto,9 本產品
Cartucho original,原廠墨盒
excelente produto!,優秀的產品！
Insatisfaçao,不滿意
Faça leve,保持光線充足
obd2 imcompatível,obd2不相容
Ventilador Excelente...10,優秀的粉絲...10
Não gostei,我不喜歡它
Erro no modelo,模型錯誤
Produto Ruim,不良產品
Loja Americana É Culpada,美國文化有罪
farol de led,LED頭燈
Gostei Muito Do Vinagre,我真的很喜歡醋
Termômetro de forno,烤箱溫度計
ATENDE ÀS EXPECTATIVAS,符合期望
Avaliando,評估中
Plenamente satisfeito.,完全滿意。
Tudo tranquilo,一切平靜
"Péssimo, não recomendo",太糟糕了，我不推薦
Medio,平均的
Muito bim,非常bim
Positiva,積極的
Muito linda....,很漂亮....
Super recomendo a todos,我強烈推薦給大家
Médio,平均的
Material de otima qualida,優質材料
RUIN,廢墟
Recebi o produto antes do,我之前收到過產品
Naara,奈良
Vendedor,賣方
"sim, recomendo, no prazo.",是的，我推薦它，準時。
positiva,積極的
00,00
cumpre o q promete,兌現承諾
Recomendadíssimo,強烈推薦
pessímo,糟糕的
Perfeito.,完美的。
pefeito,完美的
Lucileudo Firmino sousa,盧塞萊多·菲爾米諾·索薩
Nao recebi o produto,我沒有收到產品
super Recomendado,超推薦
Atenção!,注意力！
boa loja,好店
Muito atraso na entrega,交貨非常晚
Atendeu as expectativas,達到預期
Entrega e Atendimento,送貨及服務
cumpre o prometido,履行承諾
sem profissionalismo,沒有專業精神
Panos de copa,杯布
Confiança,相信
Foto,照片
Dez,十
Atenção,注意力
Assim que tem que ser,所以它必須是
razoável,合理的
Òtimo produto!,很棒的產品！
Sensacional,聳人聽聞
Mercadoria ok,貨還可以
talvez,也許
Pedido veio quebrado,訂單被破壞
Entrega do produto,產品交付
erro na entrega,交貨錯誤
entrega boa,交貨良好
Entrega perfeita,完美交付
Com defeito,有缺陷的
recomento,推薦
2,2
Ótimos produto e vendedor,很棒的產品和賣家
Recomendo concertesa,我推薦演唱會
Excelente negociação,出色的談判
Cliente satisfeito.,滿意的客戶。
SUPER RÁPIDO ATÉ ASSUSTEI,超級快我甚至害怕
Nada de produto,沒有產品
Entrega 🚚,送貨🚚
"sim, recomendo ***",是的，我推薦***
Entrega no prazo,準時交貨
Produto entregue errado,產品交付錯誤
eu recomendo .,我推薦。
Razoável,合理的
Não,不
Qualidade,品質
Porta documento,資料夾
Recebi apenas 1 unidade,我只收到 1 件
Fenômeno,現象
Ótimo e prazo rapido,偉大而快速的截止日期
Achei muito frágio..,我發現它非常脆弱...
Decepcionada com a compra,對購買感到失望
Show de bola,球秀
Termômetro portátil,隨身溫度計
Veio faltando PEÇAS!!!!!,來了缺少零件！ ！ ！ ！
remcomendo,我推薦
produto proximo de vencer,產品即將到期
Nao recomendo mais,我不再推薦它了
lannister e ótima!,蘭尼斯特太棒了！
Ainda não recebi o produt,我還沒收到產品
RECOMENDADO,受到推崇的
Insatisfeito,不滿
"Super recomendo, Ótimo",我強烈推薦它，很棒
"Super recomendo, sem dúvi",毫無疑問，我強烈推薦它
recomendo sim,我推薦是的
as cores não corresponde,顏色不匹配
Excelente loja,優秀的商店
VEIO COM DEFEITO,它有缺陷
Não cumpriu o prazo,沒有遵守截止日期
Garantia total,全程保證
Ótima empresa,偉大的公司
O,這
A cor é diferente,顏色不一樣
Cumpre o que promete.,兌現您的承諾。
produto ainda não chegou,產品尚未到達
De ótima qualidade!!!,品質很好！ ！ ！
Nao chegou,沒有到達
Básico e Rápido,基本且快速
Ótima adorei,太棒了我喜歡它
NÃO CHEGOU AINDA,尚未到達
Vc paga e não entregam,你付錢，他們不送貨
Entrega Rápida,快速交貨
Recebi o produto errado,我收到了錯誤的產品
Não tenho como avaliar,我無法評價
PRODUTO,產品
Demora dms,DM 延遲
Muito Bom Ta De Parabens,非常好 恭喜
Veio incompleto,來得不完整
Precisei retirar,我不得不刪除
Falta produtos,缺少產品
Recomendo!!,我推薦！ ！
problemas na entrega,交貨問題
Excelente!!!,出色的！ ！ ！
Vale a pena!,這是值得的！
Recebi incompleto,我收到的資訊不完整
Uma das melhores lojas,最好的商店之一
Entrega de produto,產品交付
Muitíssimo satisfeito!!!,非常滿意！ ！ ！
pena que so pode uma cor,可惜只能有一種顏色
Eu recomendo.,我推薦。
Supeer recomendo...,超推薦...
Quero o dinheiro de volta,我想要回錢
Pedi de 1/2 e veio 3/4,我點了 1/2，結果到了 3/4
cortador de garrafas vidr,玻璃瓶切割機
Desconfie duplamente,雙重可疑
Produto nao entregue,產品未交付
Não chegou no prazo,沒有準時到達
Atenção sobre a entrega,出貨注意事項
Já conheço a empresa,我已經了解這家公司了
Linda Manta,漂亮的毯子
material mt bom,非常好的材料
Produto diferente da foto,產品與照片不同
Quase ótimo,幾乎很棒
Avaliação do vendedor,賣家評級
recebi ok,我收到了 好的
O produto veio bem antes,該產品很早就來了
Gostei.,我喜歡。
super,極佳的
Bom material no geral,整體材質不錯
Réplica,複製品
Produto top,頂級產品
Ok tudo certo recomendo !,好吧，一切都很好，我推薦它！
ótimos produtos,很棒的產品
Até veio antes do prazo.,它甚至在截止日期之前到來。
Entrega Incompleta,交付不完整
PÉSSIMO FORNECEDOR,糟糕的供應商
Bom d+!!!,好d+！ ！ ！
Top.,頂部。
Ótimo muito bom mesmo!!!,太好了，真的很好！ ！ ！
Cortina de qualidade,優質窗簾
Ótima comra,非常值得購買
Excelente 👍🏽,太棒了👍🏽
muito bom!!,非常好！ ！
sensacional.,聳人聽聞。
Recomendo Muito,我強烈推薦
produto de péssima qualid,產品品質差
Cabo flat retrátil H Bust,H 胸圍伸縮扁平電纜
Veio outra voltagem,又一個電壓來了
Super recomendo!!!!!,我強烈推薦它！ ！ ！ ！
chegou antes do prazo,在截止日期之前到達
Produto veio amassado,產品皺巴巴的
Mercadoria,商品
Produto foi entregue erra,產品交付錯誤
Pessimo produto,不良產品
Paulo,保羅
Rapidez,速度
Bom negócio,很划算
Zenildo,澤尼爾多
entrega meio confusa,交付有些混亂
Muito bom!!!,非常好！ ！ ！
Empresa não confiável.,不靠譜的公司。
